use 1800 1809,,use 1810 1819,,use 1820 1829,,use 1830 1839,,use 1840 1849,,use 1850 1859,,use 1860 1869,,use 1870 1879,,use 1880 1889,,use 1890 1899
track,0.105,repair,0.017,shriek,0.032,ring,0.059,convert,0.010,couple,0.069,head,0.070,tongue,-0.023,assess,0.029,scratch,0.012
plaster,0.105,dwindle,0.017,abuse,0.032,solve,0.059,struggle,0.010,fox,0.069,come,0.070,tip,-0.023,protect,0.029,target,0.012
buoy,0.105,trim,0.017,stem,0.032,puff,0.058,start,0.010,book,0.069,discontinue,0.070,prompt,-0.023,enslave,0.029,cup,0.012
vote,0.105,chance,0.017,regiment,0.032,sharpen,0.058,bat,0.009,define,0.069,retrieve,0.069,steer,-0.023,bear,0.029,chew,0.012
haunt,0.104,warehouse,0.017,border,0.032,beach,0.058,sadden,0.009,insert,0.069,shake,0.069,equip,-0.023,discard,0.028,iron,0.012
land,0.104,reelect,0.017,worst,0.032,curtain,0.058,transform,0.009,hit,0.069,maintain,0.069,limit,-0.023,sling,0.028,complicate,0.012
busy,0.104,lock,0.017,seal,0.032,trouble,0.058,know,0.009,violate,0.069,prowl,0.069,roast,-0.023,buck,0.028,elicit,0.012
write,0.104,disguise,0.017,civilize,0.032,sun,0.058,tramp,0.009,demolish,0.069,yell,0.069,incline,-0.023,pride,0.028,sugar,0.012
warm,0.104,encourage,0.017,owe,0.032,traverse,0.058,monitor,0.009,love,0.068,submit,0.069,tree,-0.023,pain,0.028,vest,0.012
side,0.104,pause,0.017,distinguish,0.032,appear,0.058,mar,0.009,tuck,0.068,cry,0.069,serve,-0.023,chance,0.028,fan,0.012
scale,0.104,crouch,0.017,spark,0.032,communicate,0.058,infest,0.009,bed,0.068,skin,0.069,lumber,-0.023,band,0.028,license,0.012
express,0.104,collect,0.017,bread,0.032,favor,0.058,thrash,0.009,shove,0.068,blue,0.069,phrase,-0.023,roll,0.028,necessitate,0.012
ring,0.104,string,0.017,penetrate,0.032,mud,0.058,kneel,0.009,participate,0.068,trap,0.069,elaborate,-0.023,tuck,0.028,grate,0.012
disable,0.104,step,0.017,better,0.032,busy,0.058,traverse,0.009,lurk,0.068,mistake,0.069,converse,-0.023,chop,0.028,cultivate,0.012
post,0.103,reappear,0.017,beset,0.032,loosen,0.058,hit,0.009,earth,0.068,stay,0.069,tackle,-0.023,eat,0.028,navigate,0.012
flicker,0.103,paddle,0.017,break,0.032,fluctuate,0.058,exterminate,0.009,question,0.068,creep,0.069,draw,-0.023,hand,0.028,totter,0.012
disagree,0.103,set,0.017,strive,0.032,post,0.058,flicker,0.009,open,0.068,silver,0.069,rat,-0.023,steal,0.028,answer,0.012
bleach,0.103,mine,0.017,feign,0.032,lay,0.058,delay,0.009,dart,0.068,sit,0.069,perpetuate,-0.024,right,0.028,shoot,0.012
sun,0.103,oppress,0.017,punish,0.032,japan,0.057,smash,0.009,determine,0.068,japan,0.069,dim,-0.024,buy,0.028,abolish,0.012
risk,0.103,revise,0.017,consist,0.032,presume,0.057,ram,0.009,grain,0.068,thin,0.069,purify,-0.024,advantage,0.028,impede,0.012
blood,0.103,hole,0.016,labor,0.032,buoy,0.057,believe,0.009,promote,0.068,crash,0.069,pick,-0.024,flog,0.028,persevere,0.012
deliver,0.103,crackle,0.016,lay,0.032,deliver,0.057,disgust,0.009,limit,0.067,hook,0.069,wet,-0.024,sharpen,0.028,bother,0.012
hunt,0.103,irrigate,0.016,thrust,0.032,grain,0.057,blind,0.009,coordinate,0.067,milk,0.069,dominate,-0.024,espouse,0.028,sight,0.011
engage,0.103,knot,0.016,correspond,0.032,shatter,0.057,fall,0.009,reproduce,0.067,clear,0.069,meet,-0.024,shine,0.028,dust,0.011
regret,0.103,rag,0.016,incite,0.032,catch,0.057,falter,0.009,scout,0.067,tell,0.068,rid,-0.024,model,0.028,pace,0.011
crowd,0.103,pour,0.016,sustain,0.032,contemplate,0.057,boost,0.009,reappear,0.067,style,0.068,spike,-0.024,care,0.028,bury,0.011
skip,0.102,cart,0.016,fend,0.032,lower,0.057,debate,0.009,stock,0.067,trouble,0.068,justify,-0.024,include,0.028,print,0.011
toy,0.102,keep,0.016,demonstrate,0.032,slow,0.057,buoy,0.009,continue,0.067,collect,0.068,hide,-0.024,cap,0.028,repent,0.011
keep,0.102,signify,0.016,transpire,0.032,bar,0.057,flutter,0.009,throw,0.067,sting,0.068,discount,-0.024,sense,0.028,build,0.011
front,0.102,hay,0.016,snow,0.032,coat,0.057,crumble,0.009,flutter,0.067,beat,0.068,branch,-0.024,target,0.028,compound,0.011
flutter,0.102,run,0.016,oust,0.031,demolish,0.057,recline,0.009,inform,0.067,pack,0.068,pace,-0.024,design,0.028,encourage,0.011
face,0.102,tackle,0.016,vex,0.031,bother,0.057,disappear,0.009,club,0.067,deploy,0.068,ridge,-0.024,dart,0.028,saturate,0.011
order,0.102,cleanse,0.016,task,0.031,will,0.057,embarrass,0.009,endanger,0.067,feed,0.068,review,-0.024,approach,0.028,puzzle,0.011
mouth,0.102,approach,0.016,distract,0.031,down,0.057,chap,0.009,cancel,0.067,allege,0.068,ruin,-0.024,notice,0.027,border,0.011
resume,0.102,hate,0.016,resign,0.031,rise,0.057,tender,0.009,thrill,0.067,wall,0.068,jar,-0.024,illuminate,0.027,mask,0.011
volunteer,0.102,export,0.016,clap,0.031,rally,0.057,communicate,0.009,worry,0.067,worst,0.068,kick,-0.024,dominate,0.027,dress,0.011
choke,0.102,restore,0.016,soothe,0.031,experience,0.057,delegate,0.009,destroy,0.067,reach,0.068,abhor,-0.024,damage,0.027,loom,0.011
stipulate,0.102,wander,0.016,iron,0.031,dart,0.057,lighten,0.009,avail,0.066,float,0.068,elbow,-0.025,correct,0.027,rent,0.011
loiter,0.102,ride,0.016,arise,0.031,market,0.057,dissent,0.009,teach,0.066,request,0.067,saddle,-0.025,slat,0.027,veil,0.011
file,0.102,horn,0.016,pole,0.031,tumble,0.057,shame,0.009,treat,0.066,sharpen,0.067,key,-0.025,involve,0.027,grip,0.011
distribute,0.101,raid,0.016,flesh,0.031,submit,0.056,err,0.009,attract,0.066,open,0.067,steam,-0.025,enrage,0.027,stoop,0.011
bottle,0.101,polish,0.015,intrigue,0.031,stunt,0.056,cause,0.009,direct,0.066,hang,0.067,boom,-0.025,scream,0.027,raid,0.011
prey,0.101,plunder,0.015,decorate,0.031,shade,0.056,brown,0.009,signify,0.066,pollute,0.067,rear,-0.025,coast,0.027,tile,0.011
devastate,0.101,subject,0.015,prevail,0.031,clean,0.056,dye,0.009,wait,0.066,weed,0.067,extort,-0.025,change,0.027,lounge,0.011
endorse,0.101,see,0.015,flank,0.031,pump,0.056,wail,0.008,concentrate,0.066,mouth,0.067,repair,-0.025,mean,0.027,adjust,0.011
border,0.101,command,0.015,trap,0.031,downgrade,0.056,stem,0.008,trademark,0.066,bottle,0.067,field,-0.025,conduct,0.027,move,0.011
sack,0.101,examine,0.015,enrich,0.031,wish,0.056,blast,0.008,behave,0.066,press,0.067,nourish,-0.025,abuse,0.027,soak,0.011
relax,0.101,feel,0.015,import,0.031,enter,0.056,amaze,0.008,home,0.066,blend,0.067,talk,-0.025,freeze,0.027,camp,0.011
argue,0.101,band,0.015,flour,0.031,tighten,0.056,grind,0.008,hammer,0.066,impact,0.067,annoy,-0.025,disengage,0.027,fail,0.011
harass,0.101,underlie,0.015,overtake,0.031,rag,0.056,surrender,0.008,meet,0.066,protect,0.067,watch,-0.025,throw,0.027,design,0.011
ruin,0.101,choose,0.015,flush,0.031,muffle,0.056,shed,0.008,expose,0.066,rent,0.067,twist,-0.025,limit,0.027,pack,0.011
confront,0.101,cripple,0.015,whistle,0.031,wade,0.056,burden,0.008,form,0.066,pole,0.067,surge,-0.025,wind,0.027,suit,0.011
act,0.101,bird,0.015,suffer,0.031,devil,0.056,string,0.008,shadow,0.065,fail,0.067,let,-0.025,progress,0.027,foam,0.011
approach,0.101,invoke,0.015,ransom,0.031,doctor,0.056,perform,0.008,pollute,0.065,receive,0.067,print,-0.025,cripple,0.027,brand,0.011
point,0.100,shadow,0.015,burden,0.031,star,0.056,reign,0.008,mitigate,0.065,route,0.067,lie,-0.025,presume,0.027,form,0.011
wall,0.100,cord,0.015,ditto,0.031,cup,0.056,pave,0.008,highlight,0.065,gap,0.067,crew,-0.025,entangle,0.027,comply,0.011
petition,0.100,devastate,0.015,abound,0.031,blend,0.056,well,0.008,hate,0.065,lock,0.067,cheer,-0.025,seem,0.027,deck,0.011
ford,0.100,battle,0.015,need,0.031,scout,0.056,continue,0.008,pack,0.065,crumble,0.067,tap,-0.025,sound,0.027,credit,0.011
engrave,0.100,classify,0.015,question,0.031,happen,0.056,surround,0.008,sew,0.065,speak,0.066,comfort,-0.025,spill,0.027,hate,0.011
scout,0.100,overshadow,0.015,bury,0.031,bag,0.056,manufacture,0.008,powder,0.065,twin,0.066,achieve,-0.025,fix,0.027,give,0.011
control,0.100,splash,0.015,facilitate,0.031,stall,0.056,mine,0.008,disband,0.065,paddle,0.066,necessitate,-0.025,stroll,0.027,screw,0.011
perfume,0.100,deteriorate,0.015,calm,0.031,postpone,0.055,bless,0.008,pull,0.065,dive,0.066,sell,-0.025,trip,0.027,grin,0.011
urge,0.100,escort,0.015,commend,0.031,enhance,0.055,detach,0.008,join,0.065,rain,0.066,disturb,-0.026,poll,0.027,gain,0.011
edge,0.100,veil,0.015,thatch,0.031,war,0.055,guarantee,0.008,cram,0.065,fringe,0.066,peep,-0.026,sprinkle,0.027,shame,0.011
travel,0.100,gore,0.015,justify,0.031,embarrass,0.055,crop,0.008,refuse,0.065,swallow,0.066,compress,-0.026,race,0.027,ball,0.011
practice,0.100,pile,0.014,entice,0.030,rack,0.055,heap,0.008,fashion,0.065,delight,0.066,fix,-0.026,alienate,0.027,disapprove,0.011
distance,0.100,decorate,0.014,squat,0.030,plant,0.055,shriek,0.008,isolate,0.064,plate,0.066,direct,-0.026,deafen,0.027,pride,0.011
seduce,0.100,flare,0.014,dismiss,0.030,detect,0.055,loiter,0.008,happen,0.064,taste,0.066,fork,-0.026,raise,0.027,interrupt,0.011
overlook,0.100,winter,0.014,choke,0.030,horn,0.055,free,0.008,initiate,0.064,assist,0.066,throw,-0.026,bird,0.027,smother,0.011
glow,0.100,wash,0.014,trample,0.030,demonstrate,0.055,stress,0.008,assemble,0.064,ruin,0.066,think,-0.026,detail,0.027,transfer,0.011
finish,0.100,hear,0.014,tree,0.030,lot,0.054,resound,0.008,bread,0.064,dart,0.066,deduce,-0.026,busy,0.027,clean,0.011
teach,0.100,horse,0.014,dwell,0.030,fast,0.054,escape,0.008,hat,0.064,message,0.066,grope,-0.026,bask,0.027,reject,0.011
kill,0.099,debate,0.014,chew,0.030,milk,0.054,bargain,0.008,tear,0.064,print,0.066,advise,-0.026,fair,0.026,horse,0.011
view,0.099,recount,0.014,encourage,0.030,drip,0.054,interpret,0.007,run,0.064,steep,0.066,smash,-0.026,accrue,0.026,saddle,0.011
melt,0.099,offer,0.014,assert,0.030,desert,0.054,huddle,0.007,operate,0.064,ridge,0.066,launch,-0.026,refund,0.026,brace,0.011
isolate,0.099,note,0.014,dislike,0.030,loom,0.054,concede,0.007,hear,0.064,skirt,0.065,float,-0.026,concentrate,0.026,stem,0.011
gamble,0.099,suck,0.014,deafen,0.030,descend,0.054,recover,0.007,tend,0.064,picture,0.065,skim,-0.026,teach,0.026,breed,0.011
fowl,0.099,show,0.014,persist,0.030,use,0.054,rein,0.007,develop,0.064,sleep,0.065,alter,-0.026,show,0.026,tongue,0.011
sight,0.099,tame,0.014,lighten,0.030,tan,0.054,knit,0.007,concert,0.064,negotiate,0.065,bank,-0.026,slip,0.026,set,0.011
involve,0.099,roof,0.014,rat,0.030,celebrate,0.054,peruse,0.007,toss,0.064,hover,0.065,run,-0.026,brand,0.026,blast,0.010
hold,0.099,bridge,0.014,besiege,0.030,poll,0.054,parallel,0.007,replace,0.064,right,0.065,cover,-0.026,loiter,0.026,remove,0.010
pink,0.099,flush,0.014,land,0.030,reproduce,0.054,dust,0.007,follow,0.064,entrance,0.065,style,-0.026,answer,0.026,patch,0.010
age,0.099,radiate,0.014,liberate,0.030,jar,0.054,distress,0.007,fire,0.063,slow,0.065,chalk,-0.026,ornament,0.026,compete,0.010
confer,0.099,buoy,0.014,mislead,0.030,help,0.053,resemble,0.007,harass,0.063,tile,0.065,transfer,-0.026,size,0.026,squeeze,0.010
pack,0.098,prey,0.013,din,0.030,carry,0.053,brace,0.007,listen,0.063,blind,0.065,tease,-0.026,shade,0.026,shoulder,0.010
flood,0.098,solve,0.013,respect,0.030,club,0.053,reassure,0.007,access,0.063,retire,0.065,wield,-0.026,saw,0.026,patronize,0.010
advantage,0.098,cry,0.013,dispose,0.030,scan,0.053,rejoin,0.007,blind,0.063,reason,0.065,model,-0.026,tongue,0.026,foot,0.010
sound,0.098,brace,0.013,crawl,0.030,wave,0.053,dine,0.007,prey,0.063,contest,0.065,release,-0.026,smuggle,0.026,pair,0.010
perform,0.098,mock,0.013,allude,0.030,limp,0.053,compliment,0.007,postpone,0.063,want,0.064,haul,-0.026,enjoy,0.026,ring,0.010
investigate,0.098,enact,0.013,jam,0.030,pitch,0.053,endanger,0.007,entice,0.063,kindle,0.064,damage,-0.026,host,0.026,use,0.010
adjust,0.098,blockade,0.013,banish,0.030,break,0.053,cool,0.007,frame,0.063,drown,0.064,play,-0.026,tease,0.026,cheer,0.010
crash,0.098,tree,0.013,shove,0.030,dive,0.053,cure,0.007,exchange,0.063,pop,0.064,breathe,-0.026,bound,0.026,condense,0.010
examine,0.098,connect,0.013,adhere,0.030,bounce,0.053,step,0.007,slump,0.063,grass,0.064,dangle,-0.027,leap,0.026,eye,0.010
push,0.098,fret,0.013,please,0.030,fend,0.053,breed,0.007,squat,0.063,assemble,0.064,institute,-0.027,pause,0.026,dictate,0.010
shield,0.098,drip,0.013,molest,0.030,arrange,0.052,revert,0.007,peruse,0.063,stoop,0.064,espouse,-0.027,elbow,0.026,convert,0.010
catch,0.098,gather,0.013,stress,0.030,card,0.052,store,0.007,terrace,0.063,escape,0.064,tolerate,-0.027,warm,0.025,specify,0.010
drink,0.098,direct,0.013,war,0.030,seem,0.052,iron,0.007,fetch,0.063,ground,0.064,act,-0.027,plaster,0.025,tend,0.010
stagger,0.098,people,0.013,sugar,0.030,concert,0.052,snatch,0.007,knot,0.063,warm,0.064,replace,-0.027,fly,0.025,plant,0.010
style,0.098,begin,0.013,ram,0.029,interfere,0.052,smile,0.007,bear,0.063,mud,0.064,hole,-0.027,deploy,0.025,absorb,0.010
pry,0.098,shake,0.013,oblige,0.029,trail,0.052,eye,0.007,single,0.062,stumble,0.064,compliment,-0.027,let,0.025,fish,0.010
winter,0.097,puff,0.013,dive,0.029,consult,0.052,process,0.007,distance,0.062,learn,0.064,deal,-0.027,cluster,0.025,earn,0.010
rock,0.097,overthrow,0.013,smite,0.029,rescue,0.052,wipe,0.006,know,0.062,accept,0.064,stray,-0.027,launch,0.025,drive,0.010
demolish,0.097,appear,0.013,disable,0.029,box,0.052,speak,0.006,tighten,0.062,peruse,0.064,express,-0.027,wonder,0.025,pay,0.010
award,0.097,please,0.013,spar,0.029,risk,0.052,harden,0.006,float,0.062,plunge,0.064,shape,-0.027,trouble,0.025,submit,0.010
tame,0.097,strand,0.013,slope,0.029,reel,0.052,allow,0.006,balance,0.062,weather,0.064,survey,-0.027,duck,0.025,refund,0.010
crest,0.097,grope,0.013,revolve,0.029,plan,0.052,poll,0.006,assess,0.062,hood,0.064,glass,-0.027,scrap,0.025,subordinate,0.010
covet,0.097,castle,0.013,rebuild,0.029,startle,0.052,compass,0.006,shield,0.062,serve,0.064,veil,-0.027,rave,0.025,adhere,0.010
slump,0.097,turn,0.013,befit,0.029,play,0.052,generate,0.006,begin,0.062,breakfast,0.064,exterminate,-0.027,silence,0.025,slave,0.010
web,0.097,upset,0.013,pop,0.029,wash,0.051,fade,0.006,evolve,0.061,range,0.063,tire,-0.027,tire,0.025,lose,0.010
flag,0.097,maintain,0.013,retard,0.029,complete,0.051,pair,0.006,stick,0.061,tow,0.063,strike,-0.027,deface,0.025,drip,0.010
warn,0.097,pollute,0.013,leave,0.029,worry,0.051,tumble,0.006,express,0.061,track,0.063,bush,-0.027,burn,0.025,bat,0.010
speak,0.097,toss,0.013,falter,0.029,sing,0.051,interrupt,0.006,test,0.061,lease,0.063,rope,-0.027,desert,0.025,angle,0.010
flog,0.097,repent,0.013,saturate,0.029,disgust,0.051,modify,0.006,delight,0.061,cast,0.063,fish,-0.027,shower,0.025,figure,0.010
specify,0.097,contain,0.013,hole,0.029,rig,0.051,smooth,0.006,go,0.061,gain,0.063,nail,-0.028,rid,0.025,puff,0.010
thrill,0.096,pace,0.012,writhe,0.029,coordinate,0.051,approach,0.006,seed,0.061,disappoint,0.063,bleach,-0.028,mature,0.025,trouble,0.010
do,0.096,thank,0.012,rein,0.029,urge,0.051,enjoy,0.006,realize,0.061,consult,0.063,banish,-0.028,shell,0.025,stress,0.010
refuse,0.096,fail,0.012,strangle,0.029,prevent,0.051,deal,0.006,swear,0.060,specify,0.063,smoke,-0.028,displace,0.025,incite,0.010
enhance,0.096,sadden,0.012,foot,0.029,spot,0.051,seat,0.006,sing,0.060,acquire,0.063,march,-0.028,parade,0.025,man,0.010
enslave,0.096,vote,0.012,hover,0.029,cement,0.051,tuck,0.006,humiliate,0.060,provide,0.063,allude,-0.028,lease,0.025,middle,0.010
down,0.096,ring,0.012,faint,0.029,age,0.051,display,0.006,embarrass,0.060,beam,0.063,bag,-0.028,form,0.025,wonder,0.010
care,0.096,accuse,0.012,understand,0.029,iron,0.051,assess,0.006,kick,0.060,drench,0.063,worst,-0.028,erase,0.025,tree,0.010
kneel,0.096,coil,0.012,disband,0.029,gag,0.051,quote,0.006,unfold,0.060,update,0.062,lead,-0.028,mangle,0.025,please,0.009
favor,0.096,toy,0.012,sneer,0.029,learn,0.051,reek,0.006,splash,0.060,huddle,0.062,cancel,-0.028,station,0.025,consolidate,0.009
fort,0.096,saturate,0.012,persevere,0.029,blaze,0.050,harvest,0.006,suit,0.060,embrace,0.062,feel,-0.028,compile,0.025,travel,0.009
fluctuate,0.096,overlook,0.012,scribe,0.029,disarm,0.050,tan,0.006,cure,0.060,premise,0.062,store,-0.028,search,0.025,expand,0.009
yellow,0.096,impair,0.012,snatch,0.029,remember,0.050,bottom,0.006,range,0.060,compress,0.062,stretch,-0.028,alter,0.025,caution,0.009
labor,0.095,explain,0.012,ruin,0.029,care,0.050,counter,0.006,fit,0.060,plead,0.062,yellow,-0.028,exploit,0.025,calm,0.009
task,0.095,transfer,0.012,horse,0.029,mix,0.050,bed,0.006,bounce,0.060,power,0.062,practice,-0.028,people,0.025,end,0.009
rifle,0.095,evaporate,0.012,vanish,0.029,crew,0.050,pride,0.006,feel,0.060,use,0.062,shoe,-0.028,league,0.025,stride,0.009
shoe,0.095,shelter,0.012,flee,0.029,seal,0.050,treat,0.006,cool,0.060,attract,0.062,spend,-0.028,converse,0.025,screen,0.009
light,0.095,revoke,0.011,infest,0.029,blossom,0.050,enlighten,0.005,pour,0.060,belt,0.062,grapple,-0.028,respond,0.025,construct,0.009
plant,0.095,flood,0.011,emigrate,0.029,rebuild,0.050,throne,0.005,experience,0.060,control,0.062,evade,-0.028,fuel,0.025,check,0.009
tear,0.095,choke,0.011,conceal,0.029,highlight,0.050,melt,0.005,structure,0.059,empower,0.062,chill,-0.029,hill,0.024,dive,0.009
end,0.095,embrace,0.011,tame,0.029,boost,0.050,figure,0.005,fend,0.059,reveal,0.062,compete,-0.029,organize,0.024,mill,0.009
color,0.095,struggle,0.011,widen,0.028,coin,0.050,pop,0.005,star,0.059,crack,0.062,rally,-0.029,blind,0.024,guard,0.009
convert,0.095,huddle,0.011,ground,0.028,smuggle,0.050,soar,0.005,warehouse,0.059,consume,0.062,glance,-0.029,tear,0.024,signify,0.009
reprint,0.095,slop,0.011,surface,0.028,shock,0.050,feast,0.005,shave,0.059,build,0.062,magnify,-0.029,permit,0.024,cram,0.009
wear,0.095,tow,0.011,hay,0.028,foul,0.050,mask,0.005,like,0.059,check,0.062,shake,-0.029,web,0.024,highlight,0.009
lease,0.095,cling,0.011,slump,0.028,feather,0.050,toll,0.005,stall,0.059,repel,0.061,grate,-0.029,print,0.024,wall,0.009
saw,0.095,entrance,0.011,discourage,0.028,tile,0.050,totter,0.005,lean,0.059,star,0.061,boost,-0.029,grip,0.024,issue,0.009
divorce,0.094,prosecute,0.011,sour,0.028,tail,0.050,classify,0.005,study,0.059,fence,0.061,paint,-0.029,infect,0.024,correct,0.009
taste,0.094,open,0.011,inform,0.028,wait,0.050,alarm,0.005,sour,0.059,dig,0.061,feed,-0.029,shelter,0.024,exchange,0.009
wipe,0.094,characterize,0.011,depress,0.028,rage,0.050,tear,0.005,catch,0.059,cart,0.061,bend,-0.029,bin,0.024,tumble,0.009
reelect,0.094,kneel,0.011,absorb,0.028,stone,0.049,guide,0.005,request,0.059,reference,0.061,arch,-0.029,train,0.024,spill,0.009
cover,0.094,impact,0.011,cool,0.028,feast,0.049,rebuild,0.005,climb,0.059,bubble,0.061,bound,-0.029,commute,0.024,lease,0.009
bow,0.094,breakfast,0.011,bar,0.028,set,0.049,concern,0.005,drain,0.059,glaze,0.061,welcome,-0.029,ferry,0.024,complete,0.009
rack,0.094,dot,0.011,bask,0.028,vault,0.049,stay,0.005,struggle,0.059,demand,0.061,exhibit,-0.029,dangle,0.024,idle,0.009
fend,0.094,fly,0.011,bear,0.028,list,0.049,glaze,0.005,retrieve,0.059,lean,0.061,face,-0.029,coal,0.024,disclose,0.009
join,0.093,wipe,0.011,shame,0.028,destroy,0.049,sneer,0.005,echo,0.059,monitor,0.061,lease,-0.029,clean,0.024,burden,0.009
compress,0.093,bush,0.011,grass,0.028,engage,0.048,chafe,0.005,shade,0.059,withdraw,0.061,drop,-0.029,feed,0.024,wander,0.009
break,0.093,foam,0.010,enumerate,0.028,pollute,0.048,weave,0.005,cultivate,0.058,set,0.061,blow,-0.029,emerge,0.024,madden,0.009
picture,0.093,lap,0.010,procure,0.028,reassure,0.048,edge,0.005,scramble,0.058,fill,0.061,abuse,-0.029,excavate,0.024,discontent,0.009
kiss,0.093,treat,0.010,drench,0.028,stick,0.048,bow,0.005,thirst,0.058,pick,0.061,clean,-0.029,shoot,0.024,surface,0.009
muffle,0.092,concern,0.010,change,0.028,overpower,0.048,maintain,0.005,chop,0.058,hate,0.061,exercise,-0.029,seed,0.024,prove,0.009
begin,0.092,coat,0.010,sup,0.028,float,0.048,determine,0.005,horn,0.058,drink,0.061,comment,-0.029,disappear,0.024,adapt,0.009
work,0.092,glass,0.010,embrace,0.028,coal,0.048,destroy,0.005,detect,0.058,chew,0.061,entail,-0.029,eliminate,0.024,dilute,0.009
entrance,0.092,slump,0.010,water,0.028,farm,0.048,drip,0.005,route,0.058,receipt,0.060,resemble,-0.029,hold,0.024,war,0.009
guarantee,0.092,seat,0.010,reinforce,0.028,chain,0.048,mangle,0.005,winter,0.058,recline,0.060,puzzle,-0.029,hay,0.024,piece,0.009
occupy,0.092,book,0.010,occur,0.028,transform,0.048,back,0.005,engage,0.058,cabin,0.060,overpower,-0.029,recess,0.024,ridge,0.009
cross,0.092,burden,0.010,wive,0.028,perfect,0.048,disturb,0.005,burden,0.058,pale,0.060,distress,-0.029,discourage,0.024,place,0.009
stamp,0.092,cram,0.010,condense,0.027,band,0.048,trample,0.005,mock,0.057,gamble,0.060,sharpen,-0.029,propagate,0.024,second,0.008
bend,0.092,carry,0.010,conclude,0.027,parade,0.048,emerge,0.005,swing,0.057,gravel,0.060,note,-0.029,club,0.024,perpetuate,0.008
comfort,0.092,muffle,0.010,empower,0.027,define,0.048,vault,0.005,rag,0.057,root,0.060,enact,-0.029,spot,0.024,believe,0.008
stray,0.092,mean,0.010,stall,0.027,shower,0.048,front,0.005,confront,0.057,isolate,0.060,coil,-0.029,oppose,0.024,waste,0.008
smoke,0.092,pertain,0.009,roast,0.027,square,0.048,advance,0.005,foot,0.057,communicate,0.060,second,-0.029,reel,0.024,wrong,0.008
experience,0.092,marvel,0.009,heap,0.027,top,0.048,dictate,0.004,annoy,0.057,grain,0.060,compound,-0.029,seal,0.024,proclaim,0.008
concentrate,0.092,limit,0.009,dwindle,0.027,restrain,0.048,hover,0.004,freeze,0.057,coat,0.060,heat,-0.029,stick,0.024,institute,0.008
feast,0.091,wind,0.009,undertake,0.027,humiliate,0.047,worry,0.004,board,0.057,instruct,0.060,tail,-0.030,mask,0.024,exist,0.008
lodge,0.091,tail,0.009,deprive,0.027,glare,0.047,cave,0.004,tame,0.057,touch,0.060,entangle,-0.030,bring,0.024,right,0.008
watch,0.091,accumulate,0.009,devour,0.027,bottom,0.047,evolve,0.004,discard,0.057,train,0.060,down,-0.030,detect,0.024,appropriate,0.008
exist,0.091,drop,0.009,mitigate,0.027,number,0.047,tolerate,0.004,blue,0.057,trail,0.060,speak,-0.030,grain,0.024,provide,0.008
yearn,0.091,lower,0.009,amend,0.027,flock,0.047,rescue,0.004,dance,0.057,forge,0.060,base,-0.030,kneel,0.024,turn,0.008
flour,0.091,drown,0.009,swing,0.027,collect,0.047,bite,0.004,fast,0.057,score,0.060,track,-0.030,expose,0.024,blow,0.008
wave,0.091,intimate,0.009,muffle,0.027,flash,0.047,pink,0.004,punish,0.057,determine,0.059,disgust,-0.030,ask,0.023,view,0.008
release,0.091,mangle,0.009,bore,0.027,enjoy,0.047,avoid,0.004,come,0.057,happen,0.059,pay,-0.030,transport,0.023,impact,0.008
flash,0.091,favor,0.009,web,0.027,sport,0.047,pace,0.004,cheek,0.057,border,0.059,confirm,-0.030,brush,0.023,authorize,0.008
mock,0.091,nurse,0.009,poise,0.027,submerge,0.047,torment,0.004,carry,0.057,narrow,0.059,drain,-0.030,set,0.023,run,0.008
sleep,0.091,oppose,0.009,stow,0.027,tire,0.047,choke,0.004,observe,0.057,bridge,0.059,evaporate,-0.030,impoverish,0.023,cast,0.008
flush,0.091,hood,0.009,retain,0.027,crash,0.047,wonder,0.004,rush,0.056,brew,0.059,designate,-0.030,invite,0.023,feel,0.008
crush,0.091,mislead,0.009,pant,0.027,roof,0.046,stroll,0.004,display,0.056,grin,0.059,poke,-0.030,scent,0.023,monitor,0.008
stretch,0.090,group,0.009,collapse,0.026,eye,0.046,hammer,0.004,feather,0.056,talk,0.059,empty,-0.030,detach,0.023,freight,0.008
chuckle,0.090,violate,0.009,secure,0.026,gravel,0.046,entangle,0.004,skirt,0.056,stab,0.059,locate,-0.030,level,0.023,crawl,0.008
absorb,0.090,process,0.009,ease,0.026,fell,0.046,foil,0.004,anger,0.056,glass,0.059,accelerate,-0.030,thin,0.023,boat,0.008
collapse,0.090,brush,0.009,boast,0.026,clench,0.046,head,0.004,row,0.056,beach,0.059,convene,-0.030,bridge,0.023,insert,0.008
stop,0.090,stumble,0.008,confide,0.026,lie,0.046,cart,0.004,project,0.056,thrill,0.059,tuck,-0.030,aim,0.023,register,0.008
pollute,0.090,pretend,0.008,lengthen,0.026,fall,0.046,reveal,0.004,coast,0.056,strip,0.059,smuggle,-0.030,explore,0.023,prey,0.008
compass,0.090,beach,0.008,enslave,0.026,brew,0.046,slope,0.004,stray,0.056,buy,0.059,crouch,-0.030,experience,0.023,coat,0.008
pump,0.090,plant,0.008,alienate,0.026,negotiate,0.046,violate,0.004,move,0.056,tire,0.059,suspect,-0.030,control,0.023,modify,0.008
beg,0.090,flatten,0.008,condescend,0.026,pale,0.046,fell,0.004,silence,0.056,pirate,0.059,peruse,-0.030,channel,0.023,promote,0.008
