use 1987,,use rcv1,,use trc2
strew,0.033,stray,-0.028,disengage,0.005
pollute,0.033,sack,-0.028,err,0.005
remain,0.032,delineate,-0.028,convulse,0.005
disarm,0.032,collapse,-0.029,provide,0.005
humiliate,0.032,flatten,-0.029,crumble,0.005
reelect,0.032,menace,-0.029,overthrow,0.005
refresh,0.032,forget,-0.029,sugar,0.005
box,0.032,transact,-0.029,demand,0.005
tarry,0.032,assume,-0.029,lag,0.004
deposit,0.032,soothe,-0.029,gore,0.004
fowl,0.032,ting,-0.029,salt,0.004
reopen,0.032,faint,-0.029,coat,0.004
clasp,0.032,grumble,-0.029,dart,0.004
shove,0.032,exult,-0.029,chase,0.004
anger,0.032,lower,-0.029,crawl,0.004
rifle,0.032,plate,-0.029,extricate,0.004
peal,0.032,shriek,-0.029,bury,0.004
submerge,0.032,stock,-0.029,block,0.004
retire,0.032,bespeak,-0.029,flit,0.004
amount,0.032,defy,-0.029,sleep,0.004
purify,0.032,fire,-0.029,shove,0.003
chalk,0.032,seal,-0.029,scorch,0.003
drive,0.032,tumble,-0.029,absent,0.003
hedge,0.032,bridge,-0.029,revise,0.003
toss,0.032,inculcate,-0.029,owe,0.003
hood,0.032,intensify,-0.029,pole,0.003
church,0.032,dash,-0.030,edge,0.003
postpone,0.032,upset,-0.030,vanish,0.003
reef,0.032,chamber,-0.030,alter,0.002
accrue,0.031,sugar,-0.030,peal,0.002
grate,0.031,fin,-0.030,strangle,0.002
confront,0.031,vault,-0.030,stalk,0.002
grudge,0.031,shun,-0.030,float,0.002
stratify,0.031,speculate,-0.030,wrap,0.001
hurt,0.031,devastate,-0.030,excavate,0.001
whiten,0.031,moor,-0.030,derive,0.001
impregnate,0.031,situate,-0.030,foil,0.001
mistake,0.031,foot,-0.030,puzzle,0.001
body,0.031,war,-0.030,stifle,0.001
evaporate,0.031,blockade,-0.030,copper,0.001
reform,0.031,ail,-0.030,enforce,0.000
lower,0.031,stone,-0.031,lavish,0.000
confederate,0.031,banish,-0.031,baptize,0.000
fruit,0.031,screw,-0.031,accurse,0.000
feign,0.031,iron,-0.031,dip,0.000
stag,0.031,sleep,-0.031,pinch,0.000
extricate,0.031,avoid,-0.031,adhere,-0.000
steamer,0.030,accede,-0.031,detach,-0.000
map,0.030,box,-0.031,cry,-0.000
stain,0.030,frank,-0.031,clench,-0.000
plaster,0.030,confuse,-0.031,tax,-0.001
mouth,0.030,deceive,-0.031,pelt,-0.001
struggle,0.030,descry,-0.031,publish,-0.001
tin,0.030,inflame,-0.031,contend,-0.001
dip,0.030,facilitate,-0.031,reel,-0.001
preach,0.030,distribute,-0.031,arise,-0.001
wake,0.030,thwart,-0.031,bewilder,-0.001
envelop,0.030,can,-0.031,distinguish,-0.001
smell,0.030,clasp,-0.031,promulgate,-0.002
roast,0.030,relapse,-0.031,slash,-0.002
accuse,0.030,yellow,-0.031,bleed,-0.002
pitch,0.030,meddle,-0.031,infuse,-0.002
tree,0.030,dispense,-0.031,yawn,-0.002
spell,0.030,proof,-0.032,snake,-0.002
shame,0.029,berth,-0.032,ding,-0.002
trickle,0.029,mud,-0.032,horn,-0.002
sugar,0.029,dissolve,-0.032,boost,-0.003
farm,0.029,bottom,-0.032,chamber,-0.003
keep,0.029,unveil,-0.032,ache,-0.003
walk,0.029,gore,-0.032,bubble,-0.003
grain,0.029,consume,-0.032,cock,-0.004
border,0.029,interrupt,-0.032,worst,-0.004
depend,0.029,assay,-0.032,evacuate,-0.004
exterminate,0.029,disorder,-0.032,waver,-0.004
whistle,0.029,wend,-0.032,pave,-0.004
base,0.029,hatch,-0.032,bat,-0.004
feed,0.029,annex,-0.032,howl,-0.004
chafe,0.028,shill,-0.032,unveil,-0.005
corrupt,0.028,price,-0.032,bristle,-0.005
bell,0.028,coil,-0.032,succumb,-0.005
annex,0.028,concern,-0.032,refine,-0.005
bruise,0.028,deform,-0.032,bare,-0.005
finish,0.028,breeze,-0.032,assert,-0.005
decline,0.028,delay,-0.032,hedge,-0.005
head,0.028,compound,-0.032,freeze,-0.005
exempt,0.028,convey,-0.033,stimulate,-0.005
guarantee,0.028,trap,-0.033,delegate,-0.005
tongue,0.028,export,-0.033,sow,-0.006
eat,0.028,halt,-0.033,heave,-0.006
cram,0.028,molest,-0.033,diversify,-0.006
separate,0.028,oppress,-0.033,refuse,-0.006
breast,0.028,daunt,-0.033,rifle,-0.006
swim,0.028,revise,-0.033,sink,-0.006
chop,0.028,surge,-0.033,cloud,-0.006
japan,0.027,sour,-0.033,stag,-0.006
store,0.027,bleed,-0.033,fund,-0.007
wipe,0.027,reap,-0.033,plate,-0.007
elbow,0.027,adopt,-0.034,drown,-0.007
guess,0.027,transmit,-0.034,fry,-0.007
leave,0.027,poke,-0.034,value,-0.007
retort,0.027,subjoin,-0.034,qualify,-0.008
sojourn,0.027,crumble,-0.034,roast,-0.008
carpet,0.027,caress,-0.034,stoke,-0.008
eject,0.027,flesh,-0.034,sprinkle,-0.008
recount,0.027,preach,-0.034,withhold,-0.008
totter,0.027,hush,-0.034,squeeze,-0.008
hover,0.027,perch,-0.034,reek,-0.008
kneel,0.027,drip,-0.034,ignore,-0.008
remainder,0.027,square,-0.034,bid,-0.008
crumble,0.027,last,-0.034,supplant,-0.008
foul,0.026,impend,-0.034,explode,-0.008
ruin,0.026,till,-0.035,quicken,-0.009
bar,0.026,embattle,-0.035,certify,-0.009
prick,0.026,bereave,-0.035,revive,-0.009
elect,0.026,sober,-0.035,fluctuate,-0.009
flour,0.026,guarantee,-0.035,dry,-0.009
blaze,0.026,undulate,-0.035,scour,-0.009
pelt,0.026,savage,-0.035,obliterate,-0.009
whisper,0.026,tail,-0.035,mangle,-0.009
sob,0.026,consecrate,-0.035,compensate,-0.009
dignify,0.026,weaken,-0.035,mend,-0.009
repudiate,0.026,accelerate,-0.035,flatten,-0.009
seal,0.025,refinance,-0.035,limp,-0.010
wax,0.025,preside,-0.035,export,-0.010
dispose,0.025,depose,-0.035,besiege,-0.010
confess,0.025,stimulate,-0.035,infest,-0.010
dwell,0.025,befit,-0.035,limit,-0.010
pave,0.025,precede,-0.036,tarry,-0.010
bleed,0.025,moon,-0.036,pour,-0.011
hide,0.025,inaugurate,-0.036,escort,-0.011
perfume,0.025,reel,-0.036,thwart,-0.011
pit,0.025,manufacture,-0.036,smuggle,-0.011
reek,0.025,enjoin,-0.036,shrink,-0.011
succumb,0.025,pelt,-0.036,scotch,-0.011
dine,0.025,shudder,-0.036,finance,-0.011
surge,0.024,slow,-0.036,moor,-0.011
write,0.024,disclose,-0.036,verify,-0.011
dress,0.024,discard,-0.036,discharge,-0.011
destroy,0.024,widen,-0.036,aggregate,-0.011
fight,0.024,pit,-0.036,seethe,-0.011
harden,0.024,deprecate,-0.036,blow,-0.011
swear,0.024,pollute,-0.036,decline,-0.011
distress,0.024,sentence,-0.037,fin,-0.011
speculate,0.024,depute,-0.037,upgrade,-0.011
fluctuate,0.023,doom,-0.037,deform,-0.011
devour,0.023,parch,-0.037,cling,-0.012
wend,0.023,leave,-0.037,corrupt,-0.012
hush,0.023,adjoin,-0.037,impute,-0.012
adjourn,0.023,distinguish,-0.037,intersperse,-0.012
blind,0.023,burn,-0.037,kindle,-0.012
indicate,0.023,dishearten,-0.037,rivet,-0.012
interrupt,0.023,mail,-0.037,sanction,-0.013
hole,0.022,rake,-0.037,echo,-0.013
seize,0.022,appoint,-0.037,abolish,-0.013
appoint,0.022,rend,-0.037,mutilate,-0.013
ransom,0.022,hood,-0.038,burn,-0.013
par,0.022,mar,-0.038,wine,-0.013
grasp,0.022,consolidate,-0.038,tighten,-0.013
deteriorate,0.022,promulgate,-0.038,fish,-0.013
shout,0.021,cling,-0.038,pirate,-0.013
blow,0.021,mortify,-0.038,cat,-0.013
rustle,0.021,debase,-0.038,idle,-0.013
cement,0.021,mutilate,-0.038,deploy,-0.014
stay,0.021,pardon,-0.038,prospect,-0.014
slow,0.021,scend,-0.038,weigh,-0.015
confuse,0.021,stow,-0.039,wax,-0.015
rename,0.021,reproach,-0.039,consolidate,-0.015
screw,0.021,dissatisfy,-0.039,evaporate,-0.015
crack,0.021,accumulate,-0.039,violate,-0.016
wrest,0.021,par,-0.039,dissent,-0.016
gravel,0.021,intoxicate,-0.039,inculcate,-0.016
scotch,0.021,discharge,-0.039,strengthen,-0.016
mask,0.021,scruple,-0.039,bask,-0.016
grumble,0.021,interpose,-0.039,redden,-0.017
revel,0.020,scorch,-0.039,reopen,-0.017
quell,0.020,stave,-0.039,entrust,-0.018
dim,0.020,nail,-0.039,confederate,-0.018
instruct,0.020,quell,-0.039,ripen,-0.018
depose,0.020,struggle,-0.040,settle,-0.019
discharge,0.020,handwrite,-0.040,wreathe,-0.019
massacre,0.020,hew,-0.040,frost,-0.019
manufacture,0.019,divert,-0.040,generate,-0.019
breakfast,0.019,betroth,-0.040,steamer,-0.019
utter,0.019,divest,-0.040,compromise,-0.020
weaken,0.019,devolve,-0.040,redouble,-0.020
drink,0.019,mistake,-0.040,yield,-0.020
sing,0.019,taper,-0.040,slump,-0.020
distinguish,0.019,variegate,-0.040,pound,-0.020
sicken,0.019,strew,-0.040,import,-0.021
assure,0.019,abolish,-0.040,hammer,-0.021
disagree,0.019,affect,-0.040,shatter,-0.021
madden,0.019,remonstrate,-0.041,debase,-0.021
water,0.019,limp,-0.041,retain,-0.021
blight,0.019,constitute,-0.041,reassure,-0.021
ejaculate,0.019,gate,-0.041,flour,-0.022
bare,0.019,languish,-0.041,condemn,-0.022
flush,0.019,harass,-0.041,carpet,-0.022
fire,0.019,gall,-0.041,usher,-0.022
authorize,0.018,define,-0.041,stow,-0.022
hammer,0.018,clench,-0.041,provoke,-0.023
reject,0.018,chain,-0.041,obstruct,-0.023
strip,0.018,distract,-0.041,extend,-0.023
imbibe,0.018,suppress,-0.041,submerge,-0.023
cave,0.018,accommodate,-0.041,swing,-0.023
lull,0.018,strengthen,-0.041,imbibe,-0.024
fork,0.018,certify,-0.041,grope,-0.024
chew,0.018,steamer,-0.041,accumulate,-0.024
accelerate,0.018,undertake,-0.041,divert,-0.024
emigrate,0.018,bless,-0.041,defy,-0.025
bread,0.018,restructure,-0.041,suffocate,-0.025
breathe,0.018,decree,-0.041,trigger,-0.025
deface,0.018,ransom,-0.041,exempt,-0.025
excavate,0.017,imprison,-0.041,gall,-0.026
embroider,0.017,trigger,-0.041,pry,-0.026
overshadow,0.017,proportion,-0.041,depress,-0.026
obstruct,0.017,import,-0.042,dismiss,-0.026
torture,0.017,idle,-0.042,decree,-0.026
cling,0.017,bay,-0.042,auction,-0.026
snow,0.017,ally,-0.042,reap,-0.026
crawl,0.017,spur,-0.042,wrest,-0.027
relapse,0.017,nestle,-0.042,persist,-0.027
ground,0.016,resign,-0.042,toll,-0.027
weed,0.016,expense,-0.042,blight,-0.027
melt,0.016,levy,-0.042,yoke,-0.027
gall,0.016,suspend,-0.042,exceed,-0.027
curse,0.016,shiver,-0.042,bespeak,-0.027
levy,0.016,testify,-0.042,grate,-0.028
swallow,0.016,carpet,-0.042,dilute,-0.028
rout,0.016,overpower,-0.042,dull,-0.028
vote,0.016,sanction,-0.043,rake,-0.028
expand,0.016,commission,-0.043,adopt,-0.029
complicate,0.016,forbear,-0.043,hover,-0.029
thrash,0.016,dry,-0.043,concern,-0.030
prostrate,0.016,shell,-0.043,displace,-0.030
rhyme,0.015,din,-0.043,undergo,-0.031
disgust,0.015,garrison,-0.043,assess,-0.031
revenge,0.015,enliven,-0.043,vault,-0.031
restore,0.015,regulate,-0.043,isolate,-0.032
graze,0.015,accord,-0.043,disagree,-0.032
salt,0.015,comply,-0.043,hatch,-0.033
paint,0.015,pop,-0.043,consecrate,-0.033
temper,0.015,enhance,-0.043,tumble,-0.033
mourn,0.015,exempt,-0.043,smother,-0.033
disperse,0.014,coal,-0.043,trickle,-0.033
gild,0.014,govern,-0.044,define,-0.034
abolish,0.014,defile,-0.044,reinstate,-0.034
fish,0.014,freight,-0.044,amend,-0.035
shower,0.014,stun,-0.044,ripple,-0.035
insert,0.014,retain,-0.044,enrich,-0.035
forget,0.014,bolster,-0.044,exult,-0.035
refer,0.014,damage,-0.044,melt,-0.036
milk,0.014,surrender,-0.044,contribute,-0.036
break,0.014,mill,-0.044,buoy,-0.036
gin,0.013,abhor,-0.044,spark,-0.036
consecrate,0.013,blight,-0.044,decompose,-0.036
resign,0.013,muffle,-0.045,govern,-0.037
fail,0.013,generate,-0.045,refinance,-0.037
choke,0.013,prompt,-0.045,suspend,-0.037
divest,0.013,cry,-0.045,degrade,-0.037
comply,0.013,confine,-0.045,gallop,-0.037
exceed,0.013,seize,-0.045,reject,-0.037
stroke,0.013,blaze,-0.045,perpetrate,-0.037
decrease,0.012,muster,-0.045,resign,-0.038
bed,0.012,pierce,-0.045,affect,-0.038
administer,0.012,bare,-0.045,widen,-0.038
defile,0.012,lend,-0.045,parch,-0.038
offset,0.012,ground,-0.045,frown,-0.039
ice,0.012,inherit,-0.045,disclose,-0.039
escape,0.012,welsh,-0.046,discard,-0.039
shiver,0.012,suffocate,-0.046,rein,-0.040
discontinue,0.012,wrong,-0.046,subside,-0.040
expel,0.012,glitter,-0.046,dwell,-0.040
discourage,0.011,ford,-0.046,regulate,-0.041
bolster,0.011,undergo,-0.046,divide,-0.041
refuse,0.011,cement,-0.046,dissatisfy,-0.041
skip,0.011,deface,-0.047,repudiate,-0.041
flog,0.011,irritate,-0.047,resound,-0.042
smoke,0.011,utter,-0.047,dissolve,-0.042
coincide,0.011,sicken,-0.047,accelerate,-0.042
accord,0.010,rhyme,-0.047,reinforce,-0.043
glitter,0.010,affix,-0.047,empty,-0.043
enhance,0.010,amend,-0.048,pertain,-0.044
wrong,0.010,sink,-0.048,welsh,-0.044
grieve,0.010,rat,-0.048,incur,-0.044
dismiss,0.010,enforce,-0.048,culminate,-0.044
invest,0.010,establish,-0.048,weaken,-0.045
rat,0.010,divorce,-0.048,efface,-0.045
trigger,0.010,abandon,-0.048,inflame,-0.045
edit,0.009,irrigate,-0.048,worsen,-0.046
consolidate,0.009,beg,-0.048,commission,-0.046
withdraw,0.009,strangle,-0.048,emanate,-0.046
impeach,0.009,demand,-0.049,postpone,-0.046
strengthen,0.009,interfere,-0.049,offset,-0.047
retain,0.009,temper,-0.049,decrease,-0.047
torment,0.009,repudiate,-0.049,defray,-0.047
dissolve,0.009,isolate,-0.049,levy,-0.047
disclose,0.009,increase,-0.049,enhance,-0.047
develop,0.009,shorten,-0.050,sojourn,-0.047
generate,0.009,suck,-0.050,declare,-0.048
diversify,0.009,ruin,-0.050,penetrate,-0.048
commission,0.009,dislike,-0.051,avow,-0.048
prompt,0.008,poison,-0.051,deteriorate,-0.048
devil,0.008,sear,-0.051,appoint,-0.048
stimulate,0.008,silence,-0.051,prompt,-0.049
argue,0.008,explode,-0.051,woo,-0.049
eliminate,0.008,tip,-0.051,downgrade,-0.049
coach,0.008,waste,-0.051,mitigate,-0.050
affect,0.008,curse,-0.052,accord,-0.050
pardon,0.008,err,-0.052,devise,-0.050
import,0.008,torment,-0.052,peg,-0.051
revise,0.008,persecute,-0.052,boil,-0.051
decree,0.008,shallow,-0.052,proportion,-0.051
sweep,0.008,spark,-0.052,sear,-0.051
refinance,0.007,provide,-0.052,deface,-0.051
deny,0.007,devil,-0.053,ennoble,-0.051
persecute,0.007,prosecute,-0.053,divest,-0.051
restructure,0.007,toll,-0.053,inscribe,-0.052
reproach,0.007,devour,-0.054,seize,-0.052
drain,0.007,fail,-0.054,blacken,-0.052
circulate,0.006,lose,-0.054,abate,-0.052
surrender,0.006,erase,-0.054,shorten,-0.052
moor,0.006,bristle,-0.054,impend,-0.053
detach,0.006,lave,-0.055,destine,-0.053
mutilate,0.006,grate,-0.055,undertake,-0.053
swamp,0.005,accrue,-0.055,befit,-0.053
bask,0.005,pave,-0.055,deplore,-0.053
bury,0.005,insert,-0.055,remit,-0.053
lie,0.004,tear,-0.056,quell,-0.053
sacrifice,0.004,displace,-0.056,bolster,-0.053
enrage,0.004,break,-0.056,flush,-0.053
suffocate,0.004,sweep,-0.057,accede,-0.054
waste,0.003,escape,-0.057,daunt,-0.054
lose,0.002,yield,-0.057,restructure,-0.054
enlarge,0.002,shatter,-0.058,comply,-0.055
overpower,0.002,sob,-0.058,afflict,-0.055
poison,0.002,excavate,-0.058,fork,-0.055
lay,0.001,infest,-0.061,seclude,-0.055
suck,0.001,compass,-0.061,embattle,-0.055
promulgate,0.001,dignify,-0.061,expand,-0.056
starve,0.001,disperse,-0.062,betroth,-0.057
abuse,0.000,deny,-0.062,recede,-0.057
banish,-0.001,rivet,-0.063,underlie,-0.057
silence,-0.001,condescend,-0.064,subjoin,-0.057
rest,-0.002,cleave,-0.064,wail,-0.058
coal,-0.003,anger,-0.065,rout,-0.058
stop,-0.004,decompose,-0.066,languish,-0.059
molest,-0.004,confederate,-0.066,elate,-0.059
imprison,-0.006,hole,-0.067,click,-0.059
smother,-0.006,base,-0.067,descry,-0.059
shatter,-0.008,tramp,-0.067,shun,-0.059
drown,-0.008,alight,-0.067,engender,-0.059
mud,-0.009,fuse,-0.067,strew,-0.060
frown,-0.009,vanish,-0.067,dishearten,-0.060
abandon,-0.010,rage,-0.067,situate,-0.060
demolish,-0.010,enrage,-0.068,inaugurate,-0.060
sleep,-0.010,ignore,-0.068,adjoin,-0.061
murder,-0.011,separate,-0.069,stave,-0.061
obliterate,-0.013,thrash,-0.070,undulate,-0.061
tramp,-0.013,hammer,-0.070,wend,-0.061
handwrite,-0.014,refuse,-0.070,surge,-0.061
limp,-0.017,melt,-0.071,ail,-0.061
cry,-0.017,deposit,-0.071,reserve,-0.061
burn,-0.018,dull,-0.072,bereave,-0.061
vanish,-0.021,retard,-0.072,depute,-0.062
erase,-0.022,exalt,-0.075,scruple,-0.062
haunt,-0.023,prick,-0.075,spur,-0.063
sober,-0.024,absent,-0.078,interpose,-0.063
degrade,-0.024,destroy,-0.081,encroach,-0.064
dull,-0.025,starve,-0.082,scend,-0.064
absent,-0.025,frown,-0.082,enjoin,-0.064
dry,-0.026,pound,-0.084,variegate,-0.064
flesh,-0.028,exterminate,-0.086,slacken,-0.065
strangle,-0.029,obliterate,-0.087,remonstrate,-0.066
ignore,-0.039,hate,-0.089,forbear,-0.066
empty,-0.040,demolish,-0.092,mortify,-0.066
disappear,-0.041,detach,-0.101,thrust,-0.066
divorce,-0.046,empty,-0.102,disperse,-0.066
decompose,-0.056,degrade,-0.104,moon,-0.078
